Name (English);Name (Chinese);Region of Focus;Language;Entity owner (English);Entity owner (Chinese);Parent entity (English);Parent entity (Chinese);X (Twitter) handle;X (Twitter) URL;X (Twitter) Follower #;Facebook page;Facebook URL;Facebook Follower #;Instragram page;Instagram URL;Instagram Follower #;Threads account;Threads URL;Threads Follower #;YouTube account;YouTube URL;YouTube Subscriber #;TikTok account;TikTok URL;TikTok Subscriber #;date_hour;tweet_text;twits_clean;sentiment;Persons;GPE;NORP;proxy_is_foreing_interf_canada;hour;day_of_week_name;day_of_week_num
Economic Daily;经济日报;Anglosphere;English;Economic Daily Newspaper Group;经济日报报业集团;State Council;中华人民共和国国务院;EDNewsChina;https://twitter.com/EDNewsChina;6405.0;EDNewsChina;https://www.facebook.com/EDNewsChina;3500000.0;;;;;;;;;;;;;Fri Apr 17 21:56:40 PDT 2009;6.30am wake up (5.30am uk time) ouch! Off to catch the eurostar back to london ;6.30am wake ( 5.30am uk time ) ouch ! catch eurostar back london;0;;london;;Yes;21;Friday;5
Economic Daily;经济日报;Anglosphere;English;Economic Daily Newspaper Group;经济日报报业集团;State Council;中华人民共和国国务院;EDNewsChina;https://twitter.com/EDNewsChina;6405.0;EDNewsChina;https://www.facebook.com/EDNewsChina;3500000.0;;;;;;;;;;;;;Sat Apr 18 08:51:02 PDT 2009;@nicksantino i would lol but... i live in london ;@ nicksantino would lol ... live london;1;;london;;No;08;Saturday;6
Chinese Embassy in Tonga;中国驻汤加大使馆;Tonga;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;embassy_chinese;https://twitter.com/embassy_chinese;2533.0;;;;;;;;;;;;;;;;Mon Apr 20 01:56:38 PDT 2009;Possibly snow in Chicago this week  ... I knew spring hadn't sprung.;possibly snow chicago week ... knew spring n't sprung .;0;;chicago;;Yes;01;Monday;1
Chinese Embassy in Venezuela;;Venezuela;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;EmbChinaVen;https://twitter.com/EmbChinaVen;1028.0;;;;;;;;;;;;;;;;Tue Apr 07 06:59:31 PDT 2009;Last day in Chicago. ;last day chicago .;0;;chicago;;Yes;06;Tuesday;2
Chinese Embassy in Venezuela;;Venezuela;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;EmbChinaVen;https://twitter.com/EmbChinaVen;1028.0;;;;;;;;;;;;;;;;Sun May 03 10:17:09 PDT 2009;is leaving Toronto now ;leaving toronto;0;;toronto;;Yes;10;Sunday;0
Tian Yuzhen;田玉震;Brazil;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;eugenioT14;https://twitter.com/eugenioT14;10700.0;;;;;;;;;;;;;;;;Sun Apr 19 07:47:59 PDT 2009;Scorching day here, 17C. Summer is here early! Pity I'm up at 5am tomorrow for the early flight to London ;scorching day , 17c . summer early ! pity 'm 5am tomorrow early flight london;0;;london;;Yes;07;Sunday;0
Wang Xin (Fayhaa Wang);;Egypt;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;fayhaaChina;https://twitter.com/fayhaaChina;6556.0;fayhaaChina;https://www.facebook.com/fayhaaChina;1300000.0;fayhaa_china;https://www.instagram.com/fayhaa_china/;15900.0;;;;fayhaachina8389;https://www.youtube.com/channel/UCm5bAGwFH0aW8vLclAAk8kg;47400.0;fayhaa_china;https://www.tiktok.com/@fayhaa_china;421800.0;Sun Apr 19 23:10:13 PDT 2009;Trying to get train to London to present to CEO this am and none of the parking machines are accepting cards. Must be Monday. ;trying get train london present ceo none parking machines accepting cards . must monday .;0;;london;;Yes;23;Sunday;0
Wang Xin (Fayhaa Wang);;Egypt;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;fayhaaChina;https://twitter.com/fayhaaChina;6556.0;fayhaaChina;https://www.facebook.com/fayhaaChina;1300000.0;fayhaa_china;https://www.instagram.com/fayhaa_china/;15900.0;;;;fayhaachina8389;https://www.youtube.com/channel/UCm5bAGwFH0aW8vLclAAk8kg;47400.0;fayhaa_china;https://www.tiktok.com/@fayhaa_china;421800.0;Mon Apr 20 01:02:45 PDT 2009;@MattMorimoto Because I am in Chicago where it has rained for past 24 hours and not gonna stop 'til Tuesday ;@ mattmorimoto chicago rained past 24 hours gon na stop 'til tuesday;0;;chicago;;Yes;01;Monday;1
Wang Xin (Fayhaa Wang);;Egypt;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;fayhaaChina;https://twitter.com/fayhaaChina;6556.0;fayhaaChina;https://www.facebook.com/fayhaaChina;1300000.0;fayhaa_china;https://www.instagram.com/fayhaa_china/;15900.0;;;;fayhaachina8389;https://www.youtube.com/channel/UCm5bAGwFH0aW8vLclAAk8kg;47400.0;fayhaa_china;https://www.tiktok.com/@fayhaa_china;421800.0;Mon Apr 20 04:19:16 PDT 2009;Gah! I dnt want ta go ta school. I wanna hang out in london ;gah ! dnt want ta go ta school . wan na hang london;1;;london;;No;04;Monday;1
Wang Xin (Fayhaa Wang);;Egypt;Arabic;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;fayhaaChina;https://twitter.com/fayhaaChina;6556.0;fayhaaChina;https://www.facebook.com/fayhaaChina;1300000.0;fayhaa_china;https://www.instagram.com/fayhaa_china/;15900.0;;;;fayhaachina8389;https://www.youtube.com/channel/UCm5bAGwFH0aW8vLclAAk8kg;47400.0;fayhaa_china;https://www.tiktok.com/@fayhaa_china;421800.0;Sun May 03 20:05:34 PDT 2009;ugh, people stop twittering about chicago. it is making me homesick and I don't even live there yet ;ugh , people stop twittering chicago . making homesick n't even live yet;0;;chicago;;Yes;20;Sunday;0
CGTN Frontline;CGTN记者团;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Frontlinestory;https://twitter.com/Frontlinestory;27500.0;FrontlineStoriesFromReporters;https://www.facebook.com/FrontlineStoriesFromReporters;277678.0;;;;;;;;;;;;;Sat May 02 13:17:16 PDT 2009;@P2C2E do you know where i can get a copy of Driven? heading to Toronto next week, need a copy! can't find it here ;@ p2c2e know get copy driven ? heading toronto next week , need copy ! ca n't find;0;;toronto;;Yes;13;Saturday;6
Fu Cong;傅聪;Belgium;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;FuCong17;https://twitter.com/FuCong17;13200.0;;;;;;;;;;;;;;;;Sat May 02 00:40:33 PDT 2009;Trying to decide whether to post everything or get into London and hand deliver those. Postage will cost a fortune otherwise! ;trying decide whether post everything get london hand deliver . postage cost fortune otherwise !;1;;london;;No;00;Saturday;6
Gabriel Liu;刘改;Brazil;Portuguese;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;gabriekestabem;https://twitter.com/gabriekestabem;1742.0;;;;;;;;;;;;;;;;Sun May 03 05:47:55 PDT 2009;@willfarnell ...spookily similar, sunny sunday in South London and we live our guts and glory behind  ;@ willfarnell ... spookily similar , sunny sunday south london live guts glory behind;1;;london;;No;05;Sunday;0
Yin Yue (Gabriel Y. Yin);;China;Chinese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;gabrielyin;https://twitter.com/gabrielyin;20.0;Gabriel-Yin-2084018695188916;https://www.facebook.com/Gabriel-Yin-2084018695188916;26.0;gabrielyyin;https://instagram.com/gabrielyyin;1883.0;;;;gabrielyin9245;https://www.youtube.com/channel/UC_fM2ktnNVXDPrXuw2OW9vA/about;15.0;;;;Sun May 03 18:50:12 PDT 2009;@TalithaRye I'm in London  I'll see you tuesday though! It has been waaay too long I am having Jenny withdrawal symptoms ;@ talitharye 'm london 'll see tuesday though ! waaay long jenny withdrawal symptoms;1;long jenny;london;;No;18;Sunday;0
Du Xiaohui;;Germany;German;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;GeneralkonsulDu;https://twitter.com/GeneralkonsulDu;1601.0;;;;;;;;;;;;;;;;Mon Apr 20 03:58:57 PDT 2009;@sammi_jade nahh she failed, she should pass next time tho, and i dont thik ill be bale to afford london or get the time off  hows you xx;@ sammi_jade nahh failed , pass next time tho , dont thik ill bale afford london get time hows xx;1;;london;;No;03;Monday;1
GT Life;;Anglosphere;English;People's Daily Press;人民日报社;Central Committee of the Chinese Communist Party;中国共产党中央委员会;GlobalTimesLife;https://twitter.com/GlobalTimesLife;1992.0;;;;;;;;;;;;;;;;Sun Apr 19 10:18:54 PDT 2009;@solangeknowles I wish I could but I won't be in chicago tonight ;@ solangeknowles wish could wo n't chicago tonight;1;;chicago;;No;10;Sunday;0
CGTN Global Watch;CGTN《环球瞭望》;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;GlobalWatchCGTN;https://twitter.com/GlobalWatchCGTN;2878.0;GlobalWatchCGTN;https://www.facebook.com/GlobalWatchCGTN;55230.0;;;;;;;cgtnglobalwatch;https://www.youtube.com/@cgtnglobalwatch;4920.0;;;;Sun Apr 19 10:14:38 PDT 2009;Its raining in Chicago today.  ;raining chicago today .;0;;chicago;;Yes;10;Sunday;0
Guan Xin;关馨;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;GuanXinTweets;https://twitter.com/GuanXinTweets;3335.0;GuanXinCGTN;https://www.facebook.com/GuanXinCGTN;1000000.0;guanxin0411;https://www.instagram.com/guanxin0411/;684.0;;;;;;;;;;Sat Apr 18 08:00:19 PDT 2009;@chelsearoseee i know .. did you here shes in london on wednseday ;@ chelsearoseee know .. shes london wednseday;0;;london;;Yes;08;Saturday;6
Haiwai Net (People's Daily Overseas);海外网;USA;English;People's Daily Press;人民日报社;Central Committee of the Chinese Communist Party;中国共产党中央委员会;haiwainet;https://twitter.com/haiwainet;1343.0;profile.php?id=100063702356538;https://www.facebook.com/profile.php?id=100063702356538;12000.0;;;;peoples_daily_overseas;https://www.threads.net/@peoples_daily_overseas;70.0;;;;haiwainet.uscenter;https://www.tiktok.com/@haiwainet.uscenter;24700.0;Sun May 03 07:49:06 PDT 2009;I'm such a delicate country flower. London has me sneezing, snuffling and itching. Icky ;'m delicate country flower . london sneezing , snuffling itching . icky;1;;london;;No;07;Sunday;0
Haiwai Net (US Fusion Center);海外网美国融媒体中心;USA;English;People's Daily Press;人民日报社;Central Committee of the Chinese Communist Party;中国共产党中央委员会;haiwaiwangUS;https://twitter.com/haiwaiwangUS;14600.0;haiwainetus;https://www.facebook.com/haiwainetus;1200.0;haiwainet.us;https://www.instagram.com/haiwainet.us/;21800.0;;;;;;;;;;Fri May 01 23:26:02 PDT 2009;"Last night in Chicago.  two great Italian places today though. ;)";"last night chicago . two great italian places today though . ; )";1;;chicago;italian;No;23;Friday;5
Henan TV;河南公共频道;Henan;Chinese;Henan Broadcasting System;河南广播电视台;Henan Provincial Committee;中共河南省委;Henan_TV;https://twitter.com/Henan_TV;2411.0;ChinaHenanTV;https://www.facebook.com/ChinaHenanTV/;1000.0;henantv;https://www.instagram.com/henantv/;547.0;;;;;;;henantv;https://www.tiktok.com/@henantv;8496.0;Sat Apr 18 10:26:32 PDT 2009;back from canada  ugh. i lost my kitty. i hate life!;back canada ugh . lost kitty . hate life !;0;kitty;canada;;Yes;10;Saturday;6
Wang Hao;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;hongfenghuang;https://twitter.com/hongfenghuang;11300.0;;;;;;;;;;;;;;;;Sun Apr 19 04:18:51 PDT 2009;On way home to glorious LEEDS! London was nice though, gonna miss the hugz ;way home glorious leeds ! london nice though , gon na miss hugz;1;;london;;No;04;Sunday;0
Zhao Huanxin;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;huanxinzhao;https://twitter.com/huanxinzhao;1747.0;;;;;;;;;;;;;;;;Tue Apr 21 02:41:01 PDT 2009;@MBenti they have free cone day in #London too, we're just stuck in the void of no cones ;@ mbenti free cone day # london , 're stuck void cones;1;;london;;No;02;Tuesday;2
Zhao Huanxin;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;huanxinzhao;https://twitter.com/huanxinzhao;1747.0;;;;;;;;;;;;;;;;Sat May 02 06:05:56 PDT 2009;On the train back home now, I want to stay in london though ;train back home , want stay london though;1;;london;;No;06;Saturday;6
Gao Huijun;;Indonesia;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;hui48298914;https://twitter.com/hui48298914;101.0;;;;;;;;;;;;;;;;Sat Apr 18 21:40:50 PDT 2009;I lost my on a good day cd that i bought on the streets of chicago, lets hope that itll give the person who finds it a good day. ;lost good day cd bought streets chicago , lets hope itll give person finds good day .;1;;chicago;;No;21;Saturday;6
Zhang Qitong (QiTong Channel / Цитун Чжан);;Russia;Russian;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;IN_Studio2020;https://twitter.com/IN_Studio2020;90.0;studioqitong;https://www.facebook.com/QiTong-Channel-109039144271590;347000.0;imqitong;https://www.instagram.com/imqitong/;708.0;;;;StudioQitong;https://www.youtube.com/channel/UChsAYkFPkqSFH1t--JIEzBw;685.0;;;;Sun May 03 12:25:06 PDT 2009;@SherriEShepherd  I follow only 35 folks. Some decided to follow me but  I don't expect  much interst  in a ordinary lady from Canada. ;@ sherrieshepherd follow 35 folks . decided follow n't expect much interst ordinary lady canada .;0;;canada;;Yes;12;Sunday;0
In Qingdao (Meet Qingdao);;Anglosphere;English;Qingdao MOFCOM;青岛市商务局;Qingdao Municipal People's Government;青岛市人民政府;InQingdao;https://twitter.com/InQingdao;190100.0;InQingdao;https://www.facebook.com/InQingdao;400000.0;;;;;;;;;;meetqingdao_;https://www.tiktok.com/@meetqingdao_;183700.0;Sun May 03 16:33:17 PDT 2009;In Toronto - plane to Newark likely to be delayed by one hour  Good job I decided to stay overnight in Newark tonight and drive tomorrow.;toronto - plane newark likely delayed one hour good job decided stay overnight newark tonight drive tomorrow .;1;;toronto;;No;16;Sunday;0
Insight Ningbo;;Zhejiang;English;China Daily Press;中国日报社;Ningbo Municipal People's Government;宁波市人民政府;InsightNingbo;https://twitter.com/InsightNingbo;52900.0;;;;;;;;;;;;;;;;Tue Apr 21 01:46:08 PDT 2009;Good morning London Twitter-ites. Everyone had a good weekend? - Sunday shows really screw my body clock ;good morning london twitter-ites . everyone good weekend ? - sunday shows really screw body clock;1;;london;;No;01;Tuesday;2
Insight Xiangshan;;Anglosphere;English;Zhejiang Media Group (ZMG);浙江广播电视集团新蓝网;Zhejiang Provincial People's Government;浙江省人民政府;IXiangshan;https://twitter.com/IXiangshan;29500.0;profile.php?id=100078441630290&locale=ms_MY&paipv=0&eav=AfbsFttSNbGlUJU5nqbp9Eewz5Xx3DHdyGyqM18zEeFxtQ7u7BNieqHN3up5ISQrDio;https://www.facebook.com/profile.php?id=100078441630290&locale=ms_MY&paipv=0&eav=AfbsFttSNbGlUJU5nqbp9Eewz5Xx3DHdyGyqM18zEeFxtQ7u7BNieqHN3up5ISQrDio;765.0;;;;;;;insightxiangshan2141;https://www.youtube.com/channel/UC5vA6xRstJeUx20Z8sLZgPA;273.0;;;;Mon Apr 06 22:46:44 PDT 2009;@Steve_Buscemi the weather in Canada is freezing ;@ steve_buscemi weather canada freezing;0;;canada;;Yes;22;Monday;1
Chinese Consulate General in Jeju-Do;中国驻济州总领事馆;South Korea;Korean;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;jejuZLG;https://twitter.com/jejuZLG;2279.0;;;;;;;;;;;;;;;;Sat Apr 18 20:32:12 PDT 2009;Flames currently losing to Chicago 3-2 2min left in the 3rd.  Pretty good game tonight.;flames currently losing chicago 3-2 2min left 3rd . pretty good game tonight .;1;;chicago;;No;20;Saturday;6
Jiang Jiang;姜江;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;JiangJiang43;https://twitter.com/JiangJiang43;2759.0;;;;;;;;;;;;;;;;Tue Apr 07 08:40:56 PDT 2009;@MTV Disappointing...so many videos not available here in Canada.  ;@ mtv disappointing ... many videos available canada .;0;;canada;;Yes;08;Tuesday;2
Jiang Jiang;姜江;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;JiangJiang43;https://twitter.com/JiangJiang43;2759.0;;;;;;;;;;;;;;;;Sat Apr 18 13:54:24 PDT 2009;I don't want to leave London  if I can hide somewhere on the tube I will;n't want leave london hide somewhere tube;1;;london;;No;13;Saturday;6
Li Jianhua;李建华;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;JianhuaLi4;https://twitter.com/JianhuaLi4;301.0;Jianhuajournalist;https://www.facebook.com/Jianhuajournalist;820.0;;;;;;;;;;;;;Sun Apr 19 10:49:37 PDT 2009;still watching PBS and tweetn as if i dont have anything else better to b e doing. it's raining in chicago ;still watching pbs tweetn dont anything else better b e . 's raining chicago;0;;chicago;;Yes;10;Sunday;0
Li Jingjing;李菁菁;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Jingjing_Li;https://twitter.com/Jingjing_Li;30000.0;TalkItOutWithLiJingjing;https://www.facebook.com/TalkItOutWithLiJingjing/;2900000.0;jj_ontheroad;https://www.instagram.com/jj_ontheroad/?hl=en;23900.0;jj_ontheroad;https://www.threads.net/@jj_ontheroad;950.0;JingjingLi_China;https://www.youtube.com/c/JingjingLi_China;58300.0;iamlijingjing;https://www.tiktok.com/@iamlijingjing;17200.0;Tue Apr 07 03:37:26 PDT 2009;@AbbieLeona_Ox Liverpool. Don't get me jealous  going to london on thursdaiii ;@ abbieleona_ox liverpool . n't get jealous going london thursdaiii;1;;london;;No;03;Tuesday;2
Li Jingjing;李菁菁;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Jingjing_Li;https://twitter.com/Jingjing_Li;30000.0;TalkItOutWithLiJingjing;https://www.facebook.com/TalkItOutWithLiJingjing/;2900000.0;jj_ontheroad;https://www.instagram.com/jj_ontheroad/?hl=en;23900.0;jj_ontheroad;https://www.threads.net/@jj_ontheroad;950.0;JingjingLi_China;https://www.youtube.com/c/JingjingLi_China;58300.0;iamlijingjing;https://www.tiktok.com/@iamlijingjing;17200.0;Sun May 03 02:34:09 PDT 2009;Can anyone tell me where this place in London is?  http://tinyurl.com/dzz88m I have been there with school in 2001 and can't rememeber ;anyone tell place london ? http : //tinyurl.com/dzz88m school 2001 ca n't rememeber;0;;london;;Yes;02;Sunday;0
Jiang Wei (Julio Jiang);姜伟;Panama;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;juliojiangwei;https://twitter.com/juliojiangwei;7880.0;;;;;;;;;;;;;;;;Sat May 02 23:21:47 PDT 2009;Damn the bulls were so close!  maybe next year Chicago;damn bulls close ! maybe next year chicago;0;;chicago;;Yes;23;Saturday;6
Jilin Daily;吉林日报;Jilin;Chinese;Jilin Daily Press;吉林日报社(吉林日报报业集团);Jilin Provincial Committee;中共吉林省委;kimnaying;https://twitter.com/kimnaying;12200.0;;;;;;;;;;;;;;;;Mon Apr 20 07:09:32 PDT 2009;No Indy date for Green Day.    You'll have to go to Chicago or St. Louis to see them.;indy date green day . 'll go chicago st. louis see .;0;;chicago;;Yes;07;Monday;1
Jilin Daily;吉林日报;Jilin;Chinese;Jilin Daily Press;吉林日报社(吉林日报报业集团);Jilin Provincial Committee;中共吉林省委;kimnaying;https://twitter.com/kimnaying;12200.0;;;;;;;;;;;;;;;;Fri May 01 21:15:23 PDT 2009;Not only is TMBG playing KC when we'll be in Chicago, but it's a full album Flood show AND there's a kid's show the next day. ;tmbg playing kc 'll chicago , 's full album flood show 's kid 's show next day .;1;;chicago;;No;21;Friday;5
Cao Bing;;Japan;Japanese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;kooricuc;https://twitter.com/kooricuc;930.0;profile.php?id=100087213325638;https://www.facebook.com/profile.php?id=100087213325638;50000.0;;;;;;;;;;;;;Tue Apr 21 02:45:18 PDT 2009;can't believe how much money i spent in london. @nicoledegroot @danaschurer so gutted that @rachaelcrowe isn't coming tonight ;ca n't believe much money spent london . @ nicoledegroot @ danaschurer gutted @ rachaelcrowe n't coming tonight;0;;london;;Yes;02;Tuesday;2
Liu Kun;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;KunkunkunLiu;https://twitter.com/KunkunkunLiu;106.0;;;;;;;;;;;;;;;;Sat Apr 18 08:10:06 PDT 2009;im lonely  keep me company! 22 female, Chicago - Illinois;im lonely keep company ! 22 female , chicago - illinois;0;;chicago;;Yes;08;Saturday;6
Han Yingya (Lena Han / LenaStudio);;la Francophonie;French;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;lena90830;https://twitter.com/lena90830;388.0;Hanyingya;https://www.facebook.com/Hanyingya;52000.0;;;;;;;hanyingya;https://www.youtube.com/channel/UCQXf7_PL3RzEcv3wUd2myRw;51.0;;;;Tue Apr 21 03:21:35 PDT 2009;Morning everyone. On my way to the gym nice and early. Snow possible this morning in Chicago. ;morning everyone . way gym nice early . snow possible morning chicago .;1;;chicago;;No;03;Tuesday;2
Li Baorong;;Venezuela;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;Li_Baorong;https://twitter.com/Li_Baorong;8850.0;;;;;;;;;;;;;;;;Sat Apr 18 07:04:47 PDT 2009;@Custardcuppcake no muffs  left them in Canada....;@ custardcuppcake muffs left canada ....;0;;canada;;Yes;07;Saturday;6
Li Bijian;李碧建;Anglosphere;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;libijian2;https://twitter.com/libijian2;101800.0;;;;;;;;;;;;;;;;Sun May 03 06:18:09 PDT 2009;chicago bulls lost    ((;chicago bulls lost ( (;0;;chicago;;Yes;06;Sunday;0
Liu Chang;刘畅;Panama;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;LiuChan14790671;https://twitter.com/LiuChan14790671;712.0;;;;;;;;;;;;;;;;Sat May 02 06:52:59 PDT 2009;Beautiful day here in London, and what am I doing today? Sitting indoors .. ;beautiful day london , today ? sitting indoors ..;1;;london;;No;06;Saturday;6
Liu Yutong;刘禹同;Anglosphere;English;Information Department of Foreign Ministry;外交部新闻司;Ministry of Foreign Affairs;中华人民共和国外交部;LiuYutongpost;https://twitter.com/LiuYutongpost;183.0;;;;;;;;;;;;;;;;Sat May 02 10:27:27 PDT 2009;@paigeburla urban outfitters isnt in canada sadly, and i dont think there is one near the border. ;@ paigeburla urban outfitters isnt canada sadly , dont think one near border .;1;;canada;;No;10;Saturday;6
Liu Yutong;刘禹同;Anglosphere;English;Information Department of Foreign Ministry;外交部新闻司;Ministry of Foreign Affairs;中华人民共和国外交部;LiuYutongpost;https://twitter.com/LiuYutongpost;183.0;;;;;;;;;;;;;;;;Sun May 03 02:24:29 PDT 2009;"Trying to find somewhere nearby to go see &quot;In The Loop&quot;; looks like its not on outside London. ";"trying find somewhere nearby go see & quot ; loop & quot ; ; looks like outside london .";1;;london;;No;02;Sunday;0
Zhu Liying;朱立英;Mauritius;French;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;LiyingZHU1;https://twitter.com/LiyingZHU1;7800.0;;;;;;;;;;;;;;;;Tue Apr 21 02:40:28 PDT 2009;@walkley George, glad you enjoyed! Sorry I haven't mailed back yet! Not in london ;@ walkley george , glad enjoyed ! sorry n't mailed back yet ! london;1;george;london;;No;02;Tuesday;2
Luo Will;;Anglosphere;English;China Daily Press;中国日报社;Central Publicity Department;中共中央宣传部;luowill1978;https://twitter.com/luowill1978;665.0;;;;;;;;;;;;;;;;Sun May 03 19:46:42 PDT 2009;Night out w/ Nick... he leaves for The Chicago Bears 2morrow ;night w/ nick ... leaves chicago bears 2morrow;0;w/ nick ... leaves;chicago;;Yes;19;Sunday;0
Tao Yuan (Martha Tao);陶源;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;MarthayTao;https://twitter.com/MarthayTao;70.0;;;;;;;;;;;;;;;;Sat May 02 10:18:06 PDT 2009;toronto zoo failed  didnt go   onto lunch!;toronto zoo failed didnt go onto lunch !;0;;toronto;;Yes;10;Saturday;6
Miao Xiaojuan;缪晓娟;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;MiaoXiaojuan;https://twitter.com/MiaoXiaojuan;6577.0;miaoxiaojuan;https://www.facebook.com/miaoxiaojuan/;1800000.0;miaoxiaojuan;https://www.instagram.com/miaoxiaojuan;2445.0;miaoxiaojuan;https://www.threads.net/@miaoxiaojuan;85.0;miaoxiaojuan;https://www.youtube.com/channel/UCpcvpAnmYVzAbMO7m-K02cg;1030.0;miaoxiaojuan;https://www.tiktok.com/@miaoxiaojuan;3.0;Mon Apr 20 01:11:37 PDT 2009;@Tittch What? And you're not visiting me?! How could a trip to London be complete without that?! ;@ tittch ? 're visiting ? ! could trip london complete without ? !;0;;london;;Yes;01;Monday;1
Miao Xiaojuan;缪晓娟;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;MiaoXiaojuan;https://twitter.com/MiaoXiaojuan;6577.0;miaoxiaojuan;https://www.facebook.com/miaoxiaojuan/;1800000.0;miaoxiaojuan;https://www.instagram.com/miaoxiaojuan;2445.0;miaoxiaojuan;https://www.threads.net/@miaoxiaojuan;85.0;miaoxiaojuan;https://www.youtube.com/channel/UCpcvpAnmYVzAbMO7m-K02cg;1030.0;miaoxiaojuan;https://www.tiktok.com/@miaoxiaojuan;3.0;Mon Apr 20 03:16:07 PDT 2009;in London all week  and train delayed for 1 hour in the middle of no where.;london week train delayed 1 hour middle .;0;;london;;Yes;03;Monday;1
Miao Xiaojuan;缪晓娟;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;MiaoXiaojuan;https://twitter.com/MiaoXiaojuan;6577.0;miaoxiaojuan;https://www.facebook.com/miaoxiaojuan/;1800000.0;miaoxiaojuan;https://www.instagram.com/miaoxiaojuan;2445.0;miaoxiaojuan;https://www.threads.net/@miaoxiaojuan;85.0;miaoxiaojuan;https://www.youtube.com/channel/UCpcvpAnmYVzAbMO7m-K02cg;1030.0;miaoxiaojuan;https://www.tiktok.com/@miaoxiaojuan;3.0;Mon Apr 20 06:14:32 PDT 2009;On bus heading to office on this rainy Chicago day ;bus heading office rainy chicago day;0;;chicago;;Yes;06;Monday;1
Zhang Meng (Monica Zhang);张梦;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;mmMonicaZhang;https://twitter.com/mmMonicaZhang;58.0;mmMonicaZhang;https://www.facebook.com/mmMonicaZhang/;527000.0;monicazhang0415;https://www.instagram.com/monicazhang0415/;212.0;;;;monicazhang6629;https://www.youtube.com/channel/UCzuOYmSQvp4RbSzEXznML9g;23.0;;;;Sun May 03 08:15:08 PDT 2009;@beautelii canada is always excluded from everything... ;@ beautelii canada always excluded everything ...;0;;canada;;Yes;08;Sunday;0
